age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,services,divorced,secondary,no,3644.28,yes,yes,unknown,29,may,1951,7,-1,5,other,no
61,student,married,primary,no,2278.73,yes,no,unknown,10,jul,3999,8,-1,43,failure,yes
50,unemployed,single,unknown,no,3506.26,yes,yes,unknown,1,jun,3374,28,-1,33,failure,no
31,admin.,married,unknown,yes,-2139.77,yes,no,telephone,10,oct,16,1,-1,9,failure,no
20,management,single,primary,no,568.59,yes,no,cellular,28,apr,3529,44,-1,30,success,no
38,self-employed,married,unknown,no,269.08,no,no,unknown,13,feb,4731,18,123,23,failure,no
66,management,single,secondary,no,1900.18,yes,no,unknown,9,aug,1737,24,-1,43,other,no
44,unemployed,single,unknown,no,4451.68,no,no,unknown,18,feb,2261,6,-1,35,unknown,yes
39,blue-collar,married,tertiary,no,2686.65,yes,no,cellular,19,jan,2180,15,-1,34,unknown,no
73,student,single,secondary,no,-1457.26,yes,no,telephone,13,oct,2555,28,-1,27,other,no
55,technician,divorced,tertiary,no,423.29,no,no,cellular,12,feb,112,7,-1,43,success,no
77,self-employed,divorced,primary,no,2237.56,yes,no,unknown,9,jan,3654,15,-1,3,other,no
52,unemployed,divorced,tertiary,no,1590.97,yes,no,cellular,27,nov,4100,32,-1,46,unknown,no
53,technician,single,unknown,no,-1016.83,yes,no,unknown,11,jul,1719,20,798,38,unknown,no
91,admin.,married,unknown,no,-2179.16,no,no,telephone,29,dec,919,3,-1,23,success,no
80,unknown,divorced,secondary,no,-2912.32,no,no,unknown,9,oct,4596,49,843,24,unknown,no
38,technician,divorced,secondary,no,2990.5,yes,no,unknown,20,may,3677,47,-1,13,other,no
80,entrepreneur,married,primary,no,3685.27,no,no,unknown,27,oct,4032,15,733,39,failure,no
50,housemaid,single,secondary,no,-987.09,yes,no,cellular,15,nov,3531,35,-1,41,success,yes
46,unknown,single,tertiary,no,1449.52,no,no,telephone,15,oct,279,14,-1,2,success,no
60,blue-collar,single,unknown,no,1343.7,yes,no,cellular,11,mar,1050,12,-1,14,failure,yes
28,blue-collar,divorced,primary,no,-1120.95,no,yes,unknown,14,apr,1248,47,-1,38,success,no
25,services,married,unknown,no,3132.7,yes,yes,unknown,16,nov,213,49,-1,0,success,no
40,blue-collar,single,tertiary,no,-1755.58,no,no,telephone,24,mar,2935,30,-1,18,success,yes
31,management,married,tertiary,no,183.37,yes,no,unknown,5,dec,931,26,-1,49,success,no
45,housemaid,married,primary,no,2749.92,yes,no,unknown,29,dec,4518,2,-1,2,unknown,no
90,technician,married,tertiary,no,5785.1,yes,yes,telephone,7,dec,3732,16,245,0,other,no
87,unknown,single,primary,no,653.36,yes,no,telephone,21,dec,3481,42,-1,18,failure,no
67,unknown,married,unknown,no,-3280.22,yes,no,telephone,15,mar,4620,26,-1,27,other,no
88,retired,single,secondary,no,2829.98,no,no,telephone,7,sep,27,23,-1,47,failure,yes
69,unknown,married,tertiary,no,2784.63,no,no,unknown,1,jan,4566,24,-1,7,success,no
89,management,divorced,primary,no,2004.53,no,no,telephone,11,nov,1273,48,-1,24,unknown,no
86,student,divorced,primary,no,7372.55,no,yes,unknown,3,apr,968,38,-1,7,unknown,no
34,admin.,divorced,tertiary,no,2761.73,no,no,unknown,23,may,3828,11,-1,5,unknown,no
59,unknown,divorced,tertiary,no,-3357.53,no,no,cellular,11,nov,4027,23,-1,46,other,no
44,technician,divorced,unknown,no,7276.61,yes,no,cellular,3,may,221,48,-1,44,failure,no
35,services,married,secondary,no,-242.32,no,yes,unknown,10,nov,457,49,-1,10,success,no
93,student,married,primary,no,2390.71,yes,no,cellular,17,apr,4909,29,-1,16,unknown,no
40,admin.,divorced,tertiary,no,5016.56,yes,yes,telephone,3,apr,715,16,-1,24,failure,no
23,retired,divorced,secondary,no,-33.99,no,no,telephone,21,jul,1251,49,-1,14,other,no
23,retired,married,tertiary,yes,420.93,no,yes,unknown,22,feb,2622,2,-1,20,unknown,no
81,student,divorced,tertiary,no,968.87,no,no,unknown,12,jul,3192,2,-1,29,other,yes
58,retired,single,primary,no,4179.51,yes,no,unknown,24,aug,857,8,831,36,unknown,no
61,entrepreneur,divorced,secondary,no,2255.81,no,no,unknown,9,mar,3351,30,-1,26,failure,no
65,services,divorced,tertiary,no,-2669.72,no,no,cellular,25,may,4441,18,-1,16,unknown,no
71,admin.,divorced,primary,no,4827.87,yes,no,telephone,18,dec,3506,20,-1,38,unknown,no
90,self-employed,single,tertiary,no,-478.12,no,no,cellular,17,may,1107,35,-1,2,failure,no
49,management,married,primary,no,7192.97,yes,no,telephone,16,nov,4486,44,-1,26,failure,yes
64,unknown,married,tertiary,no,348.44,yes,no,telephone,29,sep,1460,13,382,40,unknown,no
86,unknown,divorced,secondary,no,1949.7,no,no,telephone,1,oct,2175,35,-1,18,success,no
91,services,married,unknown,no,-3055.64,no,no,unknown,15,jan,866,43,-1,4,unknown,no
60,unknown,divorced,tertiary,no,-2772.45,no,no,cellular,28,nov,4950,1,72,29,success,no
38,blue-collar,single,secondary,no,5421.61,no,no,cellular,7,dec,1715,44,-1,30,other,no
