step,customer,age,gender,merchant,category,amount,zipcodeOri,zipMerchant,fraud
103,1105,2,F,445,es_electronics,14.92,22118,21117,0
436,765,3,M,171,es_travel,288.34,13123,80402,0
271,652,1,F,329,es_transportation,417.78,71542,44856,0
107,485,U,U,65,es_food,417.72,58833,36063,0
72,1381,5,M,402,es_electronics,357.52,24985,24383,0
701,1335,3,F,67,es_transportation,41.68,34544,92508,0
21,932,3,M,142,es_sports,35.03,69239,94438,0
615,506,2,M,448,es_home,49.84,34691,70256,0
122,519,1,M,288,es_fashion,28.27,83719,62910,0
467,1688,3,Enterprise,196,es_electronics,15.82,61383,74462,0
215,802,U,M,188,es_transportation,7.99,42690,55330,0
331,1662,1,M,101,es_wellnessandbeauty,33.59,30446,43457,0
459,449,3,F,405,es_electronics,129.5,76176,10585,0
88,285,U,M,362,es_leisure,224.63,41885,73833,0
373,1306,U,F,155,es_travel,183.89,95686,52743,0
100,74,3,F,133,es_tech,53.31,38365,32059,0
664,1985,1,M,67,es_wellnessandbeauty,29.6,60572,38215,0
131,45,2,Enterprise,470,es_health,8.94,52897,69566,0
662,1553,4,M,212,es_fashion,63.32,36482,32791,0
309,745,1,M,169,es_wellnessandbeauty,44.95,82038,36413,0
344,676,3,F,108,es_travel,101.31,42075,28346,0
492,1481,3,M,2,es_transportation,43.13,43782,72517,0
414,575,1,F,43,es_travel,832.35,25682,26642,0
386,1431,1,F,129,es_leisure,82.93,18792,55708,0
192,93,4,M,407,es_transportation,122.97,50417,82938,0
277,322,1,M,447,es_leisure,125.78,17874,26124,0
161,466,3,U,176,es_transportation,12.17,61392,73409,0
460,604,3,F,281,es_food,11.88,22335,25230,0
314,885,4,Enterprise,90,es_leisure,59.84,59441,58027,0
22,1007,2,M,377,es_home,195.94,43250,90937,0
253,554,6,M,323,es_electronics,54.68,66448,43663,0
561,753,5,E,252,es_tech,47.59,55102,81187,0
475,327,5,Enterprise,95,es_wellnessandbeauty,14.91,83714,77668,0
59,1791,2,M,91,es_travel,80.47,91360,87220,0
511,1867,U,M,205,es_home,33.68,79103,97320,0
682,1607,3,Enterprise,431,es_leisure,84.95,28957,26012,0
476,1835,U,Enterprise,481,es_tech,28.58,77126,58236,0
700,728,5,E,345,es_electronics,42.2,61377,48470,0
190,1847,5,F,375,es_electronics,91.64,85831,84108,0
