transaction_id,date,time,customer_id,merchant_id,amount,currency,transaction_type,location,device_type,is_fraud
GB_00000000,2023-06-01,00:00:00,2334,919,57.04,USD,POS,US-CA,desktop,0
GB_00000001,2023-06-01,00:03:00,1558,314,8.47,JPY,ONLINE,AU-SYD,mobile,0
GB_00000002,2023-06-01,00:06:00,6501,993,22.38,JPY,MOBILE,US-NY,tablet,0
GB_00000003,2023-06-01,00:09:00,1652,509,12.19,GBP,POS,FR-PAR,desktop,0
GB_00000004,2023-06-01,00:12:00,4107,946,4.92,JPY,ONLINE,US-NY,desktop,0
GB_00000005,2023-06-01,00:15:00,8148,730,19.78,USD,MOBILE,FR-PAR,tablet,0
GB_00000006,2023-06-01,00:18:00,2009,914,9.8,GBP,POS,UK-LON,mobile,0
GB_00000007,2023-06-01,00:21:00,6426,828,30.85,GBP,WIRE,FR-PAR,atm,0
GB_00000008,2023-06-01,00:24:00,8262,546,72.86,EUR,WIRE,UK-LON,tablet,0
GB_00000009,2023-06-01,00:27:00,7594,723,30.02,GBP,MOBILE,UK-LON,mobile,0
GB_00000010,2023-06-01,00:30:00,1139,688,12.26,USD,MOBILE,JP-TOK,atm,0
GB_00000011,2023-06-01,00:33:00,3790,480,34.31,EUR,POS,UK-LON,atm,0
GB_00000012,2023-06-01,00:36:00,7004,550,23.65,JPY,ONLINE,FR-PAR,tablet,0
GB_00000013,2023-06-01,00:39:00,8062,808,69.6,JPY,ATM,UK-LON,mobile,0
GB_00000014,2023-06-01,00:42:00,6285,446,14.81,GBP,POS,US-NY,tablet,1
GB_00000015,2023-06-01,00:45:00,3774,713,42.75,GBP,POS,US-NY,atm,0
GB_00000016,2023-06-01,00:48:00,4392,120,59.66,GBP,ATM,US-CA,atm,0
GB_00000017,2023-06-01,00:51:00,2988,713,68.54,GBP,ONLINE,FR-PAR,pos_terminal,0
GB_00000018,2023-06-01,00:54:00,3991,935,668.99,USD,POS,FR-PAR,tablet,0
GB_00000019,2023-06-01,00:57:00,3005,613,52.84,JPY,ATM,DE-BER,mobile,0
GB_00000020,2023-06-01,01:00:00,6621,533,10.07,USD,ATM,JP-TOK,pos_terminal,0
GB_00000021,2023-06-01,01:03:00,8283,774,66.88,EUR,POS,UK-LON,tablet,0
GB_00000022,2023-06-01,01:06:00,5406,459,22.57,GBP,POS,JP-TOK,desktop,0
GB_00000023,2023-06-01,01:09:00,6989,872,22.51,USD,POS,UK-LON,pos_terminal,0
GB_00000024,2023-06-01,01:12:00,1557,661,38.39,EUR,WIRE,DE-BER,desktop,0
GB_00000025,2023-06-01,01:15:00,8339,122,13.25,GBP,ONLINE,AU-SYD,mobile,0
GB_00000026,2023-06-01,01:18:00,2521,644,33.34,USD,WIRE,FR-PAR,mobile,0
GB_00000027,2023-06-01,01:21:00,7556,491,57.71,JPY,WIRE,US-NY,mobile,0
GB_00000028,2023-06-01,01:24:00,6729,544,67.34,GBP,WIRE,FR-PAR,desktop,0
GB_00000029,2023-06-01,01:27:00,6595,330,43.09,USD,ONLINE,FR-PAR,mobile,0
GB_00000030,2023-06-01,01:30:00,1193,217,31.37,GBP,ATM,UK-LON,tablet,0
GB_00000031,2023-06-01,01:33:00,6734,248,40.22,EUR,ATM,DE-BER,pos_terminal,0
GB_00000032,2023-06-01,01:36:00,3947,468,44.85,JPY,POS,UK-LON,atm,0
GB_00000033,2023-06-01,01:39:00,7084,415,32.39,JPY,WIRE,DE-BER,mobile,0
GB_00000034,2023-06-01,01:42:00,7510,366,3.82,EUR,WIRE,UK-LON,pos_terminal,0
GB_00000035,2023-06-01,01:45:00,2282,382,5.11,JPY,MOBILE,US-CA,tablet,0
GB_00000036,2023-06-01,01:48:00,3977,596,40.01,GBP,ONLINE,US-NY,desktop,0
GB_00000037,2023-06-01,01:51:00,5076,814,6.76,JPY,WIRE,UK-LON,mobile,0
GB_00000038,2023-06-01,01:54:00,6731,121,37.54,USD,ONLINE,AU-SYD,pos_terminal,0
GB_00000039,2023-06-01,01:57:00,5880,339,15.17,GBP,ATM,AU-SYD,atm,0
GB_00000040,2023-06-01,02:00:00,3265,707,7.65,USD,POS,DE-BER,mobile,0
GB_00000041,2023-06-01,02:03:00,6866,721,60.1,EUR,WIRE,JP-TOK,pos_terminal,0
GB_00000042,2023-06-01,02:06:00,2046,411,32.95,GBP,POS,UK-LON,pos_terminal,0
GB_00000043,2023-06-01,02:09:00,7420,495,21.3,GBP,ONLINE,JP-TOK,pos_terminal,0
GB_00000044,2023-06-01,02:12:00,4551,309,3.46,EUR,WIRE,JP-TOK,atm,0
GB_00000045,2023-06-01,02:15:00,9581,587,11.58,USD,POS,DE-BER,desktop,0
GB_00000046,2023-06-01,02:18:00,4714,337,154.63,GBP,ATM,DE-BER,desktop,0
GB_00000047,2023-06-01,02:21:00,6101,418,114.6,GBP,MOBILE,UK-LON,mobile,0
GB_00000048,2023-06-01,02:24:00,3308,472,54.62,EUR,WIRE,FR-PAR,desktop,0
GB_00000049,2023-06-01,02:27:00,8772,706,11.77,EUR,MOBILE,UK-LON,tablet,0
GB_00000050,2023-06-01,02:30:00,5597,638,32.03,EUR,POS,US-CA,mobile,0
GB_00000051,2023-06-01,02:33:00,2281,434,51.85,EUR,MOBILE,UK-LON,mobile,0
GB_00000052,2023-06-01,02:36:00,4312,870,59.6,JPY,ONLINE,FR-PAR,atm,0
GB_00000053,2023-06-01,02:39:00,9412,734,21.17,USD,ATM,JP-TOK,desktop,0
GB_00000054,2023-06-01,02:42:00,6955,656,13.31,EUR,POS,US-NY,tablet,0
GB_00000055,2023-06-01,02:45:00,6428,143,114.42,EUR,WIRE,JP-TOK,tablet,0
GB_00000056,2023-06-01,02:48:00,4021,886,30.9,EUR,ATM,UK-LON,desktop,0
GB_00000057,2023-06-01,02:51:00,1485,630,41.24,USD,WIRE,JP-TOK,mobile,0
GB_00000058,2023-06-01,02:54:00,5090,978,10.17,JPY,ATM,FR-PAR,desktop,0
GB_00000059,2023-06-01,02:57:00,3653,973,11.99,EUR,ATM,UK-LON,atm,0
GB_00000060,2023-06-01,03:00:00,7971,960,10.92,GBP,MOBILE,JP-TOK,atm,0
GB_00000061,2023-06-01,03:03:00,2845,652,199.99,GBP,POS,US-CA,desktop,0
GB_00000062,2023-06-01,03:06:00,5718,586,19.93,GBP,WIRE,US-NY,pos_terminal,0
GB_00000063,2023-06-01,03:09:00,8162,397,67.78,GBP,ATM,UK-LON,tablet,0
GB_00000064,2023-06-01,03:12:00,2649,652,71.23,GBP,ATM,UK-LON,pos_terminal,0
GB_00000065,2023-06-01,03:15:00,4316,321,38.96,EUR,ONLINE,US-CA,desktop,0
GB_00000066,2023-06-01,03:18:00,2146,617,33.9,USD,POS,DE-BER,desktop,0
GB_00000067,2023-06-01,03:21:00,1602,478,3.05,EUR,MOBILE,US-CA,pos_terminal,0
GB_00000068,2023-06-01,03:24:00,4037,504,90.73,USD,ONLINE,US-NY,atm,0
GB_00000069,2023-06-01,03:27:00,1312,395,98.44,USD,POS,US-CA,pos_terminal,0
GB_00000070,2023-06-01,03:30:00,5190,583,20.49,USD,ATM,US-CA,pos_terminal,0
GB_00000071,2023-06-01,03:33:00,8704,596,33.17,EUR,POS,JP-TOK,pos_terminal,0
GB_00000072,2023-06-01,03:36:00,2027,259,26.38,USD,ONLINE,DE-BER,atm,0
GB_00000073,2023-06-01,03:39:00,9547,517,61.17,GBP,ONLINE,US-CA,tablet,0
GB_00000074,2023-06-01,03:42:00,2401,327,5.33,JPY,POS,FR-PAR,desktop,0
GB_00000075,2023-06-01,03:45:00,8896,500,213.74,USD,MOBILE,US-NY,tablet,0
GB_00000076,2023-06-01,03:48:00,6450,354,23.3,EUR,POS,AU-SYD,tablet,0
GB_00000077,2023-06-01,03:51:00,4297,873,29.15,EUR,WIRE,UK-LON,mobile,0
GB_00000078,2023-06-01,03:54:00,3283,749,55.58,USD,MOBILE,UK-LON,tablet,0
GB_00000079,2023-06-01,03:57:00,1560,949,24.06,USD,WIRE,US-CA,mobile,0
GB_00000080,2023-06-01,04:00:00,5610,508,145.16,JPY,ONLINE,DE-BER,pos_terminal,0
GB_00000081,2023-06-01,04:03:00,1826,995,4.45,JPY,ATM,AU-SYD,pos_terminal,0
GB_00000082,2023-06-01,04:06:00,9898,639,362.28,EUR,ATM,DE-BER,mobile,0
GB_00000083,2023-06-01,04:09:00,9514,829,57.05,GBP,WIRE,JP-TOK,tablet,0
GB_00000084,2023-06-01,04:12:00,4459,188,53.72,JPY,WIRE,US-NY,pos_terminal,0
GB_00000085,2023-06-01,04:15:00,4138,143,74.3,JPY,MOBILE,JP-TOK,pos_terminal,0
GB_00000086,2023-06-01,04:18:00,4734,278,50.67,EUR,ATM,US-CA,pos_terminal,0
GB_00000087,2023-06-01,04:21:00,2376,315,10.1,EUR,WIRE,JP-TOK,atm,0
GB_00000088,2023-06-01,04:24:00,3774,854,31.65,USD,MOBILE,DE-BER,mobile,0
GB_00000089,2023-06-01,04:27:00,4384,218,14.46,EUR,ATM,JP-TOK,desktop,0
GB_00000090,2023-06-01,04:30:00,8538,749,15.02,JPY,ONLINE,FR-PAR,atm,0
GB_00000091,2023-06-01,04:33:00,7874,918,54.16,EUR,ONLINE,DE-BER,mobile,0
GB_00000092,2023-06-01,04:36:00,1289,176,57.67,GBP,MOBILE,UK-LON,tablet,0
GB_00000093,2023-06-01,04:39:00,3896,987,15.1,EUR,POS,UK-LON,mobile,0
GB_00000094,2023-06-01,04:42:00,6465,617,41.11,USD,ATM,AU-SYD,pos_terminal,0
GB_00000095,2023-06-01,04:45:00,9374,290,133.83,EUR,ONLINE,US-CA,pos_terminal,0
GB_00000096,2023-06-01,04:48:00,5730,897,62.4,USD,POS,US-CA,pos_terminal,0
