transaction_id,timestamp,from_account,to_account,amount,transaction_type,is_fraud,is_flagged_fraud
TXN_00000000,2023-01-01 00:00:00,20999,84790,149.98,TRANSFER,0,0
TXN_00000001,2023-01-01 00:05:00,85911,23886,30.33,CASH_OUT,0,0
TXN_00000002,2023-01-01 00:10:00,81812,66049,14.56,PAYMENT,0,0
TXN_00000003,2023-01-01 00:15:00,52590,34638,1935.52,CASH_IN,0,0
TXN_00000004,2023-01-01 00:20:00,56235,78693,10.24,PAYMENT,0,0
TXN_00000005,2023-01-01 00:25:00,92034,37967,93.91,CASH_OUT,0,0
TXN_00000006,2023-01-01 00:30:00,10137,58465,1605.26,DEBIT,0,0
TXN_00000007,2023-01-01 00:35:00,12589,87474,403.92,CASH_IN,0,0
TXN_00000008,2023-01-01 00:40:00,90303,93035,99.91,PAYMENT,0,0
TXN_00000009,2023-01-01 00:45:00,57337,22479,68.41,DEBIT,0,0
TXN_00000010,2023-01-01 00:50:00,96116,46686,371.81,TRANSFER,0,0
TXN_00000011,2023-01-01 00:55:00,91886,82711,1241.06,DEBIT,0,0
TXN_00000012,2023-01-01 01:00:00,13021,11972,6.59,CASH_OUT,0,0
TXN_00000013,2023-01-01 01:05:00,61329,72479,24.71,TRANSFER,0,0
TXN_00000014,2023-01-01 01:10:00,84303,74836,22.93,CASH_OUT,0,0
TXN_00000015,2023-01-01 01:15:00,40832,20063,569.08,TRANSFER,0,0
TXN_00000016,2023-01-01 01:20:00,38262,35958,422.36,TRANSFER,0,0
TXN_00000017,2023-01-01 01:25:00,13150,63735,135.86,PAYMENT,0,0
TXN_00000018,2023-01-01 01:30:00,81108,50484,221.55,CASH_OUT,0,0
TXN_00000019,2023-01-01 01:35:00,25219,63283,723.42,TRANSFER,0,0
TXN_00000020,2023-01-01 01:40:00,50943,71642,239.71,TRANSFER,0,0
TXN_00000021,2023-01-01 01:45:00,76724,52319,295.21,PAYMENT,0,0
TXN_00000022,2023-01-01 01:50:00,10042,36949,142.92,PAYMENT,0,0
TXN_00000023,2023-01-01 01:55:00,82032,30877,574.16,PAYMENT,0,0
TXN_00000024,2023-01-01 02:00:00,62086,52780,61.17,CASH_IN,0,0
TXN_00000025,2023-01-01 02:05:00,21702,24486,157.97,PAYMENT,0,0
TXN_00000026,2023-01-01 02:10:00,65722,79769,193.53,CASH_IN,0,0
TXN_00000027,2023-01-01 02:15:00,55552,80357,6.32,DEBIT,0,0
TXN_00000028,2023-01-01 02:20:00,63157,91507,944.51,CASH_OUT,0,0
TXN_00000029,2023-01-01 02:25:00,26361,55086,195.86,CASH_IN,0,0
TXN_00000030,2023-01-01 02:30:00,77850,98376,66.69,PAYMENT,0,0
TXN_00000031,2023-01-01 02:35:00,94885,57275,14.9,TRANSFER,0,0
TXN_00000032,2023-01-01 02:40:00,62995,49327,123.19,CASH_IN,0,0
TXN_00000033,2023-01-01 02:45:00,57000,35145,173.28,PAYMENT,0,0
TXN_00000034,2023-01-01 02:50:00,15979,88983,2604.22,CASH_IN,0,0
TXN_00000035,2023-01-01 02:55:00,20799,59116,1766.59,CASH_OUT,0,0
TXN_00000036,2023-01-01 03:00:00,30158,52891,51.21,CASH_OUT,0,0
TXN_00000037,2023-01-01 03:05:00,13558,44340,49.37,DEBIT,0,0
TXN_00000038,2023-01-01 03:10:00,76433,66285,57.11,TRANSFER,0,0
TXN_00000039,2023-01-01 03:15:00,25208,90262,454.13,TRANSFER,0,0
TXN_00000040,2023-01-01 03:20:00,35967,17295,59.67,TRANSFER,0,0
TXN_00000041,2023-01-01 03:25:00,39886,59090,555.68,DEBIT,0,0
TXN_00000042,2023-01-01 03:30:00,65619,79233,764.74,PAYMENT,0,0
TXN_00000043,2023-01-01 03:35:00,27313,41635,1276.23,TRANSFER,0,0
TXN_00000044,2023-01-01 03:40:00,43367,43889,261.27,CASH_IN,0,0
TXN_00000045,2023-01-01 03:45:00,21642,87335,75.91,CASH_OUT,0,0
TXN_00000046,2023-01-01 03:50:00,39826,75399,39.37,CASH_IN,0,0
TXN_00000047,2023-01-01 03:55:00,39640,98442,267.84,PAYMENT,0,0
TXN_00000048,2023-01-01 04:00:00,91974,53285,340.62,TRANSFER,0,0
TXN_00000049,2023-01-01 04:05:00,51082,73904,915.8,CASH_OUT,0,0
TXN_00000050,2023-01-01 04:10:00,59962,53802,129.88,CASH_IN,0,0
TXN_00000051,2023-01-01 04:15:00,66937,43020,125.38,CASH_OUT,0,0
TXN_00000052,2023-01-01 04:20:00,17416,72271,325.21,CASH_IN,0,0
TXN_00000053,2023-01-01 04:25:00,23323,70939,126.94,CASH_IN,0,0
TXN_00000054,2023-01-01 04:30:00,26318,61382,863.28,CASH_IN,0,0
TXN_00000055,2023-01-01 04:35:00,32847,76331,350.39,DEBIT,0,0
TXN_00000056,2023-01-01 04:40:00,60401,45826,6141.5,PAYMENT,0,0
TXN_00000057,2023-01-01 04:45:00,29040,96288,147.29,DEBIT,0,0
TXN_00000058,2023-01-01 04:50:00,69129,17015,58.36,TRANSFER,0,0
TXN_00000059,2023-01-01 04:55:00,47549,80689,35.95,CASH_OUT,0,0
TXN_00000060,2023-01-01 05:00:00,48100,77196,10.38,PAYMENT,0,0
TXN_00000061,2023-01-01 05:05:00,15432,78144,215.18,DEBIT,0,0
TXN_00000062,2023-01-01 05:10:00,46207,23444,120.35,CASH_OUT,0,0
TXN_00000063,2023-01-01 05:15:00,99235,89624,1576.06,CASH_IN,0,0
TXN_00000064,2023-01-01 05:20:00,90375,14170,59.0,CASH_OUT,0,0
TXN_00000065,2023-01-01 05:25:00,82596,29999,212.03,TRANSFER,0,0
TXN_00000066,2023-01-01 05:30:00,85238,79846,37.47,DEBIT,0,0
TXN_00000067,2023-01-01 05:35:00,74710,22211,40.55,PAYMENT,0,0
TXN_00000068,2023-01-01 05:40:00,84330,97795,70.33,PAYMENT,0,0
TXN_00000069,2023-01-01 05:45:00,63656,42619,16.24,TRANSFER,0,0
TXN_00000070,2023-01-01 05:50:00,58273,53404,675.85,CASH_OUT,0,0
TXN_00000071,2023-01-01 05:55:00,43114,74440,1079.86,CASH_OUT,0,0
TXN_00000072,2023-01-01 06:00:00,55442,26710,210.1,CASH_OUT,0,0
TXN_00000073,2023-01-01 06:05:00,53753,11522,9.41,PAYMENT,0,0
TXN_00000074,2023-01-01 06:10:00,14635,70554,117.89,DEBIT,0,0
TXN_00000075,2023-01-01 06:15:00,59704,87892,62.95,DEBIT,0,0
TXN_00000076,2023-01-01 06:20:00,79403,34235,31.24,CASH_IN,0,0
TXN_00000077,2023-01-01 06:25:00,45419,13628,534.46,CASH_IN,0,0
TXN_00000078,2023-01-01 06:30:00,55854,88509,1311.41,TRANSFER,0,0
TXN_00000079,2023-01-01 06:35:00,24453,37731,1129.15,CASH_OUT,0,0
TXN_00000080,2023-01-01 06:40:00,91046,11212,28.74,CASH_OUT,0,0
TXN_00000081,2023-01-01 06:45:00,76351,10153,10.43,TRANSFER,0,0
TXN_00000082,2023-01-01 06:50:00,62718,20502,39.87,PAYMENT,0,0
TXN_00000083,2023-01-01 06:55:00,65831,93381,162.63,TRANSFER,0,0
TXN_00000084,2023-01-01 07:00:00,86184,71447,1288.15,DEBIT,0,0
TXN_00000085,2023-01-01 07:05:00,30364,32736,12.64,TRANSFER,0,0
TXN_00000086,2023-01-01 07:10:00,96306,73497,217.27,CASH_OUT,0,0
TXN_00000087,2023-01-01 07:15:00,22587,87849,257.62,CASH_IN,0,0
TXN_00000088,2023-01-01 07:20:00,64593,60741,107.97,DEBIT,0,0
TXN_00000089,2023-01-01 07:25:00,75764,96474,497.29,DEBIT,0,0
TXN_00000090,2023-01-01 07:30:00,46029,40492,1593.84,CASH_OUT,0,0
TXN_00000091,2023-01-01 07:35:00,33403,17533,3695.68,CASH_OUT,0,0
TXN_00000092,2023-01-01 07:40:00,64279,46854,311.17,TRANSFER,0,0
TXN_00000093,2023-01-01 07:45:00,76648,69464,184.05,CASH_OUT,0,0
TXN_00000094,2023-01-01 07:50:00,72716,30924,127.07,CASH_OUT,0,0
TXN_00000095,2023-01-01 07:55:00,25666,52928,220.36,CASH_OUT,0,0
TXN_00000096,2023-01-01 08:00:00,71723,15951,2736.88,TRANSFER,0,0
TXN_00000097,2023-01-01 08:05:00,78680,55859,93.41,PAYMENT,0,0
TXN_00000098,2023-01-01 08:10:00,63239,24606,432.02,CASH_IN,0,0
TXN_00000099,2023-01-01 08:15:00,90664,84370,33.98,PAYMENT,0,0
TXN_00000100,2023-01-01 08:20:00,91495,87370,1480.25,TRANSFER,0,0
TXN_00000101,2023-01-01 08:25:00,39819,36304,2.56,CASH_OUT,0,0
TXN_00000102,2023-01-01 08:30:00,98134,74094,23.02,CASH_OUT,0,0
TXN_00000103,2023-01-01 08:35:00,22908,33500,65.43,PAYMENT,0,0
TXN_00000104,2023-01-01 08:40:00,45105,41511,50.51,DEBIT,0,0
TXN_00000105,2023-01-01 08:45:00,51849,22199,3431.22,CASH_OUT,0,0
TXN_00000106,2023-01-01 08:50:00,58739,99027,4555.49,DEBIT,0,0
TXN_00000107,2023-01-01 08:55:00,41175,92851,3480.68,CASH_OUT,0,0
TXN_00000108,2023-01-01 09:00:00,15600,22140,2.33,DEBIT,0,0
TXN_00000109,2023-01-01 09:05:00,81723,41839,169.07,PAYMENT,0,0
TXN_00000110,2023-01-01 09:10:00,43414,18097,158.13,CASH_IN,0,0
TXN_00000111,2023-01-01 09:15:00,92793,34498,91.57,PAYMENT,0,0
TXN_00000112,2023-01-01 09:20:00,53150,87654,102.12,CASH_OUT,0,0
TXN_00000113,2023-01-01 09:25:00,25629,53279,3289.6,CASH_OUT,0,0
TXN_00000114,2023-01-01 09:30:00,92289,67218,873.79,CASH_IN,0,0
TXN_00000115,2023-01-01 09:35:00,46714,17103,9.73,PAYMENT,0,0
TXN_00000116,2023-01-01 09:40:00,74182,99784,39.93,DEBIT,0,0
TXN_00000117,2023-01-01 09:45:00,25427,88363,151.61,PAYMENT,0,0
TXN_00000118,2023-01-01 09:50:00,36215,85445,631.76,PAYMENT,0,0
TXN_00000119,2023-01-01 09:55:00,39524,48981,2967.27,DEBIT,0,0
TXN_00000120,2023-01-01 10:00:00,38950,49365,24.13,DEBIT,0,1
TXN_00000121,2023-01-01 10:05:00,84650,86715,166.36,CASH_IN,0,0
TXN_00000122,2023-01-01 10:10:00,90834,31619,30.29,PAYMENT,0,0
TXN_00000123,2023-01-01 10:15:00,72834,40267,853.8,PAYMENT,0,0
TXN_00000124,2023-01-01 10:20:00,87004,30466,77.1,CASH_OUT,0,0
TXN_00000125,2023-01-01 10:25:00,40235,27658,295.69,CASH_OUT,0,0
TXN_00000126,2023-01-01 10:30:00,90788,52471,176.6,PAYMENT,0,0
TXN_00000127,2023-01-01 10:35:00,28953,61022,326.48,CASH_OUT,0,0
TXN_00000128,2023-01-01 10:40:00,68328,11152,42.62,TRANSFER,0,0
TXN_00000129,2023-01-01 10:45:00,26794,36809,139.11,CASH_IN,0,0
TXN_00000130,2023-01-01 10:50:00,89282,26448,24.88,PAYMENT,0,0
TXN_00000131,2023-01-01 10:55:00,68434,38912,1490.0,CASH_IN,0,0
TXN_00000132,2023-01-01 11:00:00,84117,28376,659.68,TRANSFER,0,0
TXN_00000133,2023-01-01 11:05:00,79608,40123,51.31,TRANSFER,0,0
TXN_00000134,2023-01-01 11:10:00,96525,92457,76.94,CASH_OUT,0,0
TXN_00000135,2023-01-01 11:15:00,18318,28332,39.84,TRANSFER,0,0
TXN_00000136,2023-01-01 11:20:00,23668,95096,36.46,PAYMENT,0,0
TXN_00000137,2023-01-01 11:25:00,65281,86184,23997.39,CASH_OUT,0,0
TXN_00000138,2023-01-01 11:30:00,25704,15030,535.02,CASH_OUT,0,0
TXN_00000139,2023-01-01 11:35:00,17676,29035,337.34,TRANSFER,0,0
TXN_00000140,2023-01-01 11:40:00,22918,35801,701.34,DEBIT,0,0
TXN_00000141,2023-01-01 11:45:00,38733,61757,1642.32,CASH_OUT,0,0
TXN_00000142,2023-01-01 11:50:00,29468,53399,42181.86,TRANSFER,0,0
TXN_00000143,2023-01-01 11:55:00,45476,81362,32.89,TRANSFER,0,0
TXN_00000144,2023-01-01 12:00:00,22229,36148,19.99,PAYMENT,0,0
TXN_00000145,2023-01-01 12:05:00,42713,28569,98.09,PAYMENT,0,0
TXN_00000146,2023-01-01 12:10:00,71387,19421,94.91,PAYMENT,0,0
TXN_00000147,2023-01-01 12:15:00,11426,18629,49.91,PAYMENT,0,0
TXN_00000148,2023-01-01 12:20:00,80178,67582,2281.65,CASH_IN,0,0
TXN_00000149,2023-01-01 12:25:00,87639,85047,269.84,PAYMENT,1,0
TXN_00000150,2023-01-01 12:30:00,66148,31068,98.01,DEBIT,0,0
TXN_00000151,2023-01-01 12:35:00,85115,51181,113.95,PAYMENT,0,0
TXN_00000152,2023-01-01 12:40:00,42322,99519,41.08,CASH_OUT,0,0
TXN_00000153,2023-01-01 12:45:00,92441,82297,62.9,TRANSFER,0,0
TXN_00000154,2023-01-01 12:50:00,47786,13041,292.83,CASH_IN,0,0
TXN_00000155,2023-01-01 12:55:00,74133,17242,163.92,CASH_IN,0,0
TXN_00000156,2023-01-01 13:00:00,28848,42628,162.85,DEBIT,0,0
TXN_00000157,2023-01-01 13:05:00,87782,98435,1408.12,DEBIT,0,0
TXN_00000158,2023-01-01 13:10:00,15371,89155,1963.52,DEBIT,0,0
TXN_00000159,2023-01-01 13:15:00,93370,68604,457.63,PAYMENT,0,0
TXN_00000160,2023-01-01 13:20:00,50933,13354,50.93,DEBIT,0,0
TXN_00000161,2023-01-01 13:25:00,75721,29701,27.85,PAYMENT,0,0
TXN_00000162,2023-01-01 13:30:00,94306,87291,3304.83,CASH_OUT,0,0
TXN_00000163,2023-01-01 13:35:00,11639,81345,88.35,PAYMENT,0,0
TXN_00000164,2023-01-01 13:40:00,72474,33813,642.21,CASH_IN,0,0
TXN_00000165,2023-01-01 13:45:00,55574,55213,313.82,DEBIT,0,0
TXN_00000166,2023-01-01 13:50:00,93391,30768,85.34,TRANSFER,0,0
TXN_00000167,2023-01-01 13:55:00,57334,11812,91.48,CASH_OUT,0,0
TXN_00000168,2023-01-01 14:00:00,43460,79295,19.34,DEBIT,0,0
TXN_00000169,2023-01-01 14:05:00,75257,75973,258.98,DEBIT,0,0
TXN_00000170,2023-01-01 14:10:00,46154,53230,635.7,DEBIT,0,0
TXN_00000171,2023-01-01 14:15:00,59373,28793,110.51,CASH_OUT,0,0
TXN_00000172,2023-01-01 14:20:00,36481,49937,5.81,DEBIT,0,0
TXN_00000173,2023-01-01 14:25:00,92498,86035,58.77,CASH_IN,0,0
TXN_00000174,2023-01-01 14:30:00,41106,58785,21.35,CASH_OUT,0,0
TXN_00000175,2023-01-01 14:35:00,83053,85732,67.88,TRANSFER,0,0
TXN_00000176,2023-01-01 14:40:00,30891,56267,257.5,PAYMENT,0,0
TXN_00000177,2023-01-01 14:45:00,64150,81399,365.31,CASH_OUT,0,0
TXN_00000178,2023-01-01 14:50:00,17994,92191,414.18,CASH_IN,0,0
TXN_00000179,2023-01-01 14:55:00,43620,41321,149.67,CASH_OUT,0,0
TXN_00000180,2023-01-01 15:00:00,91355,51273,113.63,CASH_IN,0,0
TXN_00000181,2023-01-01 15:05:00,26975,27032,387.13,PAYMENT,0,1
TXN_00000182,2023-01-01 15:10:00,78705,14733,215.07,TRANSFER,0,0
TXN_00000183,2023-01-01 15:15:00,82876,18598,35.22,PAYMENT,0,0
TXN_00000184,2023-01-01 15:20:00,39576,63443,36.17,PAYMENT,0,0
TXN_00000185,2023-01-01 15:25:00,24653,39017,54.94,CASH_OUT,0,0
TXN_00000186,2023-01-01 15:30:00,94260,63330,448.01,PAYMENT,0,0
TXN_00000187,2023-01-01 15:35:00,21432,81292,13.23,DEBIT,0,0
TXN_00000188,2023-01-01 15:40:00,62989,22345,119.28,CASH_IN,0,0
TXN_00000189,2023-01-01 15:45:00,15086,35372,5.98,CASH_OUT,0,0
TXN_00000190,2023-01-01 15:50:00,50697,96804,73.36,PAYMENT,0,0
TXN_00000191,2023-01-01 15:55:00,44379,64943,1413.44,TRANSFER,0,0
TXN_00000192,2023-01-01 16:00:00,14955,78509,40.5,CASH_IN,0,0
TXN_00000193,2023-01-01 16:05:00,59092,84790,177.33,PAYMENT,0,0
TXN_00000194,2023-01-01 16:10:00,57038,24520,41.64,PAYMENT,0,0
TXN_00000195,2023-01-01 16:15:00,28850,99600,90.86,TRANSFER,0,0
TXN_00000196,2023-01-01 16:20:00,59084,17995,156.57,CASH_IN,0,0
TXN_00000197,2023-01-01 16:25:00,82440,76713,630.84,DEBIT,0,0
TXN_00000198,2023-01-01 16:30:00,24955,79901,293.77,CASH_OUT,0,0
TXN_00000199,2023-01-01 16:35:00,21513,49315,72.24,DEBIT,0,0
TXN_00000200,2023-01-01 16:40:00,55327,55078,18.83,CASH_OUT,0,0
TXN_00000201,2023-01-01 16:45:00,28565,99836,210.78,CASH_OUT,0,0
TXN_00000202,2023-01-01 16:50:00,81855,45385,239.62,CASH_OUT,0,0
TXN_00000203,2023-01-01 16:55:00,97652,49612,2386.77,DEBIT,0,0
TXN_00000204,2023-01-01 17:00:00,25792,99852,476.6,PAYMENT,0,0
TXN_00000205,2023-01-01 17:05:00,35096,13482,1979.56,DEBIT,1,0
TXN_00000206,2023-01-01 17:10:00,75284,26503,358.05,PAYMENT,0,0
TXN_00000207,2023-01-01 17:15:00,46831,67190,231.76,DEBIT,0,0
TXN_00000208,2023-01-01 17:20:00,14038,52994,220.36,PAYMENT,1,0
TXN_00000209,2023-01-01 17:25:00,95093,37048,902.31,CASH_IN,0,0
TXN_00000210,2023-01-01 17:30:00,17590,63341,38.84,CASH_IN,0,0
TXN_00000211,2023-01-01 17:35:00,20417,83911,2077.76,CASH_OUT,0,0
TXN_00000212,2023-01-01 17:40:00,67605,65682,77.78,CASH_IN,0,0
TXN_00000213,2023-01-01 17:45:00,93172,34348,1170.67,CASH_IN,0,0
TXN_00000214,2023-01-01 17:50:00,11576,62040,166.8,TRANSFER,0,0
TXN_00000215,2023-01-01 17:55:00,17852,72394,38.81,CASH_IN,0,0
TXN_00000216,2023-01-01 18:00:00,16341,99729,385.72,PAYMENT,0,0
TXN_00000217,2023-01-01 18:05:00,89409,70091,176.97,TRANSFER,0,0
TXN_00000218,2023-01-01 18:10:00,18623,75859,34.7,CASH_OUT,0,0
TXN_00000219,2023-01-01 18:15:00,69405,33588,277.46,DEBIT,0,0
TXN_00000220,2023-01-01 18:20:00,43857,67127,46.66,TRANSFER,0,0
TXN_00000221,2023-01-01 18:25:00,36763,88519,161.75,CASH_IN,0,0
TXN_00000222,2023-01-01 18:30:00,19609,34662,107.26,DEBIT,0,0
TXN_00000223,2023-01-01 18:35:00,60173,98427,370.32,CASH_IN,0,0
TXN_00000224,2023-01-01 18:40:00,94361,20497,187.72,CASH_IN,0,0
TXN_00000225,2023-01-01 18:45:00,65416,68614,7.02,PAYMENT,0,0
TXN_00000226,2023-01-01 18:50:00,20188,60614,162.83,CASH_IN,0,0
TXN_00000227,2023-01-01 18:55:00,92161,79212,179.71,CASH_IN,0,0
TXN_00000228,2023-01-01 19:00:00,48458,96071,1302.84,DEBIT,0,0
TXN_00000229,2023-01-01 19:05:00,13173,96096,3259.09,CASH_IN,0,0
TXN_00000230,2023-01-01 19:10:00,83575,77404,806.39,CASH_IN,0,0
TXN_00000231,2023-01-01 19:15:00,19008,90014,796.22,DEBIT,0,0
TXN_00000232,2023-01-01 19:20:00,44021,27557,207.17,CASH_OUT,0,0
TXN_00000233,2023-01-01 19:25:00,88092,51964,118.05,CASH_OUT,0,0
TXN_00000234,2023-01-01 19:30:00,42155,27810,44.69,PAYMENT,0,0
TXN_00000235,2023-01-01 19:35:00,41521,98403,327.3,CASH_IN,0,0
TXN_00000236,2023-01-01 19:40:00,54292,18855,166.18,PAYMENT,0,0
TXN_00000237,2023-01-01 19:45:00,98878,82615,364.46,CASH_IN,0,0
TXN_00000238,2023-01-01 19:50:00,94761,12917,4053.33,CASH_IN,0,0
TXN_00000239,2023-01-01 19:55:00,81203,37909,41.93,DEBIT,0,0
TXN_00000240,2023-01-01 20:00:00,81788,33073,1557.54,DEBIT,0,0
TXN_00000241,2023-01-01 20:05:00,38349,14726,106.76,CASH_IN,0,0
TXN_00000242,2023-01-01 20:10:00,36140,40823,25.23,PAYMENT,0,0
TXN_00000243,2023-01-01 20:15:00,68592,35242,117.2,TRANSFER,0,0
TXN_00000244,2023-01-01 20:20:00,98919,76133,50.19,CASH_IN,0,0
TXN_00000245,2023-01-01 20:25:00,37976,59544,204.74,PAYMENT,0,0
TXN_00000246,2023-01-01 20:30:00,67906,81919,588.02,DEBIT,0,0
TXN_00000247,2023-01-01 20:35:00,49185,11577,628.93,PAYMENT,0,0
TXN_00000248,2023-01-01 20:40:00,36483,34775,122.1,PAYMENT,0,0
TXN_00000249,2023-01-01 20:45:00,22830,88340,28.62,DEBIT,0,0
TXN_00000250,2023-01-01 20:50:00,46823,32225,34.58,DEBIT,0,0
TXN_00000251,2023-01-01 20:55:00,53463,60089,519.44,PAYMENT,0,0
TXN_00000252,2023-01-01 21:00:00,16365,23439,75.42,TRANSFER,0,0
TXN_00000253,2023-01-01 21:05:00,43452,16748,824.68,DEBIT,0,0
TXN_00000254,2023-01-01 21:10:00,96192,58788,286.91,DEBIT,0,0
TXN_00000255,2023-01-01 21:15:00,56630,35420,33.9,PAYMENT,0,0
TXN_00000256,2023-01-01 21:20:00,41054,16643,64.41,CASH_OUT,0,0
TXN_00000257,2023-01-01 21:25:00,34881,47294,1288.65,DEBIT,0,0
TXN_00000258,2023-01-01 21:30:00,68397,28826,915.95,CASH_OUT,0,0
TXN_00000259,2023-01-01 21:35:00,93296,34064,6.01,CASH_OUT,0,0
TXN_00000260,2023-01-01 21:40:00,45494,21077,138.32,DEBIT,0,0
TXN_00000261,2023-01-01 21:45:00,87366,49197,144.44,PAYMENT,0,0
TXN_00000262,2023-01-01 21:50:00,13128,19756,122.96,CASH_IN,0,0
TXN_00000263,2023-01-01 21:55:00,31210,99808,4231.69,DEBIT,0,0
TXN_00000264,2023-01-01 22:00:00,92951,48902,493.32,CASH_IN,0,0
TXN_00000265,2023-01-01 22:05:00,72359,60572,6333.02,TRANSFER,0,0
TXN_00000266,2023-01-01 22:10:00,91180,97070,126.37,CASH_IN,0,0
TXN_00000267,2023-01-01 22:15:00,86648,71708,65.56,TRANSFER,0,0
TXN_00000268,2023-01-01 22:20:00,98152,22466,56.59,TRANSFER,0,0
TXN_00000269,2023-01-01 22:25:00,33347,21091,38.82,CASH_OUT,0,0
TXN_00000270,2023-01-01 22:30:00,47244,27484,216.4,DEBIT,0,0
TXN_00000271,2023-01-01 22:35:00,27326,80359,368.06,CASH_OUT,0,0
TXN_00000272,2023-01-01 22:40:00,69256,41462,1315.08,PAYMENT,0,0
TXN_00000273,2023-01-01 22:45:00,67948,59804,148.61,CASH_IN,0,0
TXN_00000274,2023-01-01 22:50:00,48896,83315,26.63,CASH_IN,0,0
TXN_00000275,2023-01-01 22:55:00,98335,58657,453.76,PAYMENT,0,0
TXN_00000276,2023-01-01 23:00:00,98052,63714,59.25,DEBIT,0,0
TXN_00000277,2023-01-01 23:05:00,28439,10602,29.93,CASH_OUT,0,0
TXN_00000278,2023-01-01 23:10:00,16202,57941,613.6,DEBIT,0,0
TXN_00000279,2023-01-01 23:15:00,20285,83701,33.06,DEBIT,0,0
TXN_00000280,2023-01-01 23:20:00,75718,61683,33.93,TRANSFER,0,0
TXN_00000281,2023-01-01 23:25:00,23687,90204,34.52,PAYMENT,0,0
TXN_00000282,2023-01-01 23:30:00,19156,63782,868.17,CASH_IN,1,0
TXN_00000283,2023-01-01 23:35:00,17973,64416,26.76,CASH_OUT,0,0
TXN_00000284,2023-01-01 23:40:00,23631,88042,47.9,TRANSFER,0,0
TXN_00000285,2023-01-01 23:45:00,40135,11393,319.46,DEBIT,0,0
TXN_00000286,2023-01-01 23:50:00,10352,37647,2243.22,DEBIT,0,0
TXN_00000287,2023-01-01 23:55:00,68431,51356,760.56,PAYMENT,0,0
TXN_00000288,2023-01-02 00:00:00,82949,32575,203.84,CASH_IN,1,0
TXN_00000289,2023-01-02 00:05:00,96823,51141,10.21,CASH_OUT,0,0
TXN_00000290,2023-01-02 00:10:00,92480,79626,613.49,CASH_OUT,0,0
TXN_00000291,2023-01-02 00:15:00,22793,69206,184.49,DEBIT,0,0
TXN_00000292,2023-01-02 00:20:00,87306,96232,209.77,DEBIT,0,0
TXN_00000293,2023-01-02 00:25:00,59789,51527,56.36,CASH_OUT,0,0
TXN_00000294,2023-01-02 00:30:00,39735,23612,99.3,TRANSFER,0,1
TXN_00000295,2023-01-02 00:35:00,82527,93175,51.45,CASH_IN,0,0
TXN_00000296,2023-01-02 00:40:00,10717,26826,101.61,CASH_OUT,0,0
TXN_00000297,2023-01-02 00:45:00,72363,72569,554.27,DEBIT,0,0
TXN_00000298,2023-01-02 00:50:00,35775,10913,8.93,DEBIT,0,0
TXN_00000299,2023-01-02 00:55:00,94079,38257,112.37,CASH_OUT,0,0
TXN_00000300,2023-01-02 01:00:00,32668,75558,9.97,CASH_IN,0,0
TXN_00000301,2023-01-02 01:05:00,93708,24152,466.02,CASH_IN,0,0
TXN_00000302,2023-01-02 01:10:00,57448,18512,328.09,CASH_OUT,0,0
TXN_00000303,2023-01-02 01:15:00,82999,36166,353.71,TRANSFER,0,0
TXN_00000304,2023-01-02 01:20:00,54735,45726,1922.93,CASH_OUT,1,0
TXN_00000305,2023-01-02 01:25:00,32607,50861,32.12,CASH_IN,0,0
TXN_00000306,2023-01-02 01:30:00,23991,50056,280.26,CASH_IN,0,0
TXN_00000307,2023-01-02 01:35:00,82449,63049,656.81,PAYMENT,0,0
TXN_00000308,2023-01-02 01:40:00,97250,87591,12.41,CASH_IN,0,0
TXN_00000309,2023-01-02 01:45:00,86715,99980,742.7,DEBIT,0,0
TXN_00000310,2023-01-02 01:50:00,57129,24714,156.1,CASH_IN,0,0
TXN_00000311,2023-01-02 01:55:00,27193,34563,10.24,CASH_IN,1,0
