transaction_id,timestamp,customer_id,merchant_id,amount,category,fraud_label
SYN-000000,2026-08-27 16:44:31.327830,CUST-0179,MERCH-047,6.0,dining,0
SYN-000001,2026-09-01 03:34:31.327842,CUST-0424,MERCH-009,18.56,digital,0
SYN-000002,2026-08-29 00:04:31.327845,CUST-0150,MERCH-014,11.52,groceries,0
SYN-000003,2026-08-29 03:23:31.327847,CUST-0132,MERCH-046,92.23,dining,0
SYN-000004,2026-08-28 18:20:31.327849,CUST-0326,MERCH-092,33.46,dining,0
SYN-000005,2026-08-28 09:29:31.327850,CUST-0184,MERCH-024,20.79,digital,0
SYN-000006,2026-09-01 10:08:31.327851,CUST-0133,MERCH-005,75.02,retail,0
SYN-000007,2026-08-29 16:08:31.327852,CUST-0176,MERCH-010,18.99,retail,0
SYN-000008,2026-08-28 20:56:31.327853,CUST-0021,MERCH-016,40.56,groceries,0
SYN-000009,2026-08-26 23:12:31.327854,CUST-0240,MERCH-014,64.34,digital,0
SYN-000010,2026-08-31 13:49:31.327855,CUST-0076,MERCH-015,15.3,travel,0
SYN-000011,2026-09-01 05:05:31.327856,CUST-0203,MERCH-055,31.03,dining,0
SYN-000012,2026-08-27 22:05:31.327856,CUST-0003,MERCH-065,185.97073373246192,groceries,1
SYN-000013,2026-08-31 01:21:31.327857,CUST-0327,MERCH-035,63.19,retail,0
SYN-000014,2026-08-29 01:23:31.327858,CUST-0447,MERCH-082,19.55,travel,0
SYN-000015,2026-08-29 05:43:31.327859,CUST-0164,MERCH-037,79.09,gaming,0
SYN-000016,2026-08-28 06:54:31.327860,CUST-0414,MERCH-084,24.5,digital,0
SYN-000017,2026-08-31 22:10:31.327861,CUST-0420,MERCH-074,256.18,gaming,0
SYN-000018,2026-08-29 13:59:31.327862,CUST-0127,MERCH-002,9.9,dining,0
SYN-000019,2026-08-30 09:29:31.327863,CUST-0044,MERCH-097,47.45,gaming,0
SYN-000020,2026-08-28 07:18:31.327863,CUST-0217,MERCH-017,19.24,gaming,0
SYN-000021,2026-08-26 17:28:31.327864,CUST-0234,MERCH-078,16.04,dining,0
SYN-000022,2026-08-26 07:20:31.327865,CUST-0135,MERCH-088,3.01,retail,0
SYN-000023,2026-08-30 23:16:31.327866,CUST-0167,MERCH-053,21.6,gaming,0
SYN-000024,2026-08-27 07:05:31.327867,CUST-0480,MERCH-078,7.58,retail,0
SYN-000025,2026-08-31 07:47:31.327868,CUST-0236,MERCH-093,14.74,groceries,0
SYN-000026,2026-08-30 20:07:31.327869,CUST-0092,MERCH-016,7.89,gaming,0
SYN-000027,2026-08-26 09:07:31.327870,CUST-0004,MERCH-081,9.01,gaming,0
SYN-000028,2026-08-25 19:16:31.327870,CUST-0155,MERCH-094,6.87,dining,0
SYN-000029,2026-09-01 14:45:31.327871,CUST-0244,MERCH-081,6.94,dining,0
SYN-000030,2026-08-30 20:20:31.327872,CUST-0359,MERCH-098,4.09,gaming,0
SYN-000031,2026-08-30 15:49:31.327873,CUST-0080,MERCH-012,29.26,gaming,0
SYN-000032,2026-08-29 12:16:31.327874,CUST-0246,MERCH-062,364.6939399401699,dining,1
SYN-000033,2026-08-31 10:15:31.327875,CUST-0342,MERCH-013,40.76,dining,0
SYN-000034,2026-08-27 09:00:31.327876,CUST-0492,MERCH-058,13.57,travel,0
SYN-000035,2026-08-31 20:47:31.327877,CUST-0136,MERCH-035,10.38,digital,0
SYN-000036,2026-08-31 16:26:31.327877,CUST-0385,MERCH-017,18.4,travel,0
SYN-000037,2026-08-30 06:38:31.327878,CUST-0062,MERCH-004,40.52,gaming,0
SYN-000038,2026-08-30 01:04:31.327879,CUST-0479,MERCH-013,270.5242656257512,digital,1
SYN-000039,2026-08-26 14:36:31.327880,CUST-0306,MERCH-024,20.35,travel,0
SYN-000040,2026-08-29 00:01:31.327881,CUST-0115,MERCH-043,39.03,groceries,0
SYN-000041,2026-08-26 15:22:31.327882,CUST-0112,MERCH-038,20.19,digital,0
SYN-000042,2026-08-26 21:21:31.327882,CUST-0030,MERCH-011,11.12,dining,0
SYN-000043,2026-08-27 12:41:31.327883,CUST-0006,MERCH-060,49.78,digital,0
SYN-000044,2026-08-30 22:22:31.327884,CUST-0413,MERCH-061,5.76,dining,0
SYN-000045,2026-08-27 20:33:31.327885,CUST-0441,MERCH-052,69.90447782672959,groceries,1
SYN-000046,2026-08-26 02:39:31.327886,CUST-0002,MERCH-052,19.59,gaming,0
SYN-000047,2026-08-28 09:59:31.327886,CUST-0306,MERCH-027,21.89,digital,0
SYN-000048,2026-08-28 22:28:31.327889,CUST-0242,MERCH-034,25.36,retail,0
SYN-000049,2026-08-27 19:35:31.327889,CUST-0055,MERCH-064,14.47,dining,0
SYN-000050,2026-08-26 00:44:31.327890,CUST-0072,MERCH-002,77.72,digital,0
SYN-000051,2026-09-01 04:59:31.327891,CUST-0009,MERCH-042,4.49,travel,0
SYN-000052,2026-08-27 00:48:31.327892,CUST-0060,MERCH-049,22.99,digital,0
SYN-000053,2026-08-30 13:22:31.327893,CUST-0493,MERCH-070,42.89,dining,0
SYN-000054,2026-08-31 15:29:31.327894,CUST-0049,MERCH-008,80.19,retail,0
SYN-000055,2026-08-30 00:11:31.327895,CUST-0121,MERCH-035,76.27,retail,0
SYN-000056,2026-08-27 11:59:31.327896,CUST-0174,MERCH-022,6.71,travel,0
SYN-000057,2026-08-30 14:41:31.327896,CUST-0473,MERCH-087,28.85,groceries,0
SYN-000058,2026-09-01 00:53:31.327898,CUST-0000,MERCH-073,16.22,retail,0
SYN-000059,2026-08-30 01:51:31.327899,CUST-0477,MERCH-049,19.71,gaming,0
SYN-000060,2026-08-27 04:45:31.327900,CUST-0440,MERCH-054,62.42,groceries,0
SYN-000061,2026-08-26 00:22:31.327901,CUST-0037,MERCH-011,134.28,dining,0
SYN-000062,2026-08-27 23:21:31.327902,CUST-0189,MERCH-082,26.07,digital,0
SYN-000063,2026-08-28 19:19:31.327903,CUST-0078,MERCH-031,2.76,groceries,0
SYN-000064,2026-09-01 15:13:31.327903,CUST-0344,MERCH-023,75.16766579352033,gaming,1
SYN-000065,2026-08-29 18:17:31.327905,CUST-0453,MERCH-085,19.17,dining,0
SYN-000066,2026-09-01 01:19:31.327906,CUST-0337,MERCH-066,54.47,dining,0
SYN-000067,2026-08-27 10:45:31.327907,CUST-0448,MERCH-026,9.16,dining,0
SYN-000068,2026-08-26 04:07:31.327907,CUST-0189,MERCH-060,16.59,gaming,0
SYN-000069,2026-09-01 00:58:31.327908,CUST-0183,MERCH-018,101.28,travel,0
SYN-000070,2026-08-27 06:45:31.327909,CUST-0066,MERCH-072,13.51,gaming,0
SYN-000071,2026-08-28 06:35:31.327910,CUST-0016,MERCH-050,115.91,travel,0
SYN-000072,2026-08-27 06:22:31.327911,CUST-0382,MERCH-063,13.06,groceries,0
SYN-000073,2026-08-27 23:31:31.327911,CUST-0367,MERCH-076,49.61,dining,0
SYN-000074,2026-08-27 05:58:31.327912,CUST-0391,MERCH-001,21.69,groceries,0
SYN-000075,2026-08-26 19:45:31.327913,CUST-0315,MERCH-035,43.67,retail,0
SYN-000076,2026-09-01 03:16:31.327914,CUST-0496,MERCH-092,149.7,groceries,0
SYN-000077,2026-08-26 07:26:31.327915,CUST-0295,MERCH-010,30.56,digital,0
SYN-000078,2026-08-29 08:27:31.327916,CUST-0208,MERCH-097,70.89,dining,0
SYN-000079,2026-08-29 08:55:31.327917,CUST-0344,MERCH-067,8.21,groceries,0
